M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 7/2020;MODERAGRO;BRDE;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;880.000,0;1
 7/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;245.000,0;2
 7/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.922.029,6;10
 7/2020;MODERAGRO;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;2.792.950,0;5
 7/2020;MODERAGRO;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.640.000,0;3
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.499.666,6;3
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;4.294.620,0;9
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;612.411,8;2
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;631.508,6;3
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;4.024.574,9;17
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;5.056.311,0;10
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;88.000,0;1
 7/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;196.685,2;1
 7/2020;MODERFROTA;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.025.422,5;3
