M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;12.693.681,1;28
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;334.709,9;1
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;27.189.230,0;53
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;15.772.658,1;28
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.979.463,4;5
10/2020;MODERAGRO;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;100.000,0;1
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;1.191.147,5;4
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;2.065.250,0;3
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;5.307.926,0;13
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;133.025,0;2
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;4.183.870,0;7
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;2.472.667,0;8
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;4.612.121,1;25
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARAIBA             ;NORDESTE            ;365.100,5;2
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;4.212.740,0;12
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;157.482,1;1
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;138.941,0;1
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;3.700.775,0;12
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.177.782,5;5
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;3.365.062,0;21
10/2020;MODERFROTA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;2.232.100,0;2
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;284.640,0;1
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;157.656,0;1
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;985.150,0;1
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;359.125,0;3
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;7.304.322,5;26
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;5.083.135,6;8
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;8.324.127,7;29
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;2.656.888,9;7
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;118.150,0;1
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;652.156,5;2
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;6.138.265,0;11
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.049.374,0;7
10/2020;MODERFROTA;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;3.741.346,6;17
10/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;748.722,5;1
10/2020;MODERFROTA;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;9.060.045,7;36
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;DISTRITO FEDERAL    ;CENTRO OESTE        ;470.112,9;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;618.464,3;4
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;GOIAS               ;CENTRO OESTE        ;1.087.715,8;5
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;140.250,0;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.975.655,0;4
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;272.380,0;3
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;191.520,0;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Empresas Agro;TOCANTINS           ;NORTE               ;580.975,0;2
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ALAGOAS             ;NORDESTE            ;450.500,0;2
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;CEARA               ;NORDESTE            ;214.200,0;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;1.563.930,0;2
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;6.095.384,0;29
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;316.540,0;3
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;16.689.421,5;66
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;6.280.766,3;39
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;27.569.538,9;64
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;7.356.969,9;33
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;20.666.855,9;96
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;7.764.393,0;54
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;18.928.138,0;56
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;375.700,0;3
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;255.454,3;3
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;11.079.420,6;44
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;498.000,0;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;4.554.713,0;12
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;16.615.375,4;77
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;22.663,6;1
10/2020;MODERFROTA;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;9.260.675,9;44
10/2020;MODERFROTA;BRB;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;1.150.000,0;1
10/2020;MODERFROTA;BRDE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;1.056.937,8;2
10/2020;MODERFROTA;BRDE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;898.436,5;6
10/2020;MODERFROTA;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.440.325,0;3
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;130.900,0;1
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;MARANHAO            ;NORDESTE            ;124.000,0;1
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;357.000,0;3
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;501.475,0;2
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Empresas Agro;PIAUI               ;NORDESTE            ;400.000,0;1
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;7.200.272,5;10
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;14.989.893,1;45
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;8.827.467,2;30
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;58.354.587,0;97
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;28.541.469,6;44
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;19.732.200,1;61
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;2.321.570,0;14
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;42.410.567,1;136
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;172.754,0;1
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;12.354.287,6;49
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;4.403.220,0;6
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;5.333.062,0;18
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;15.230.910,6;65
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;744.998,4;3
10/2020;MODERFROTA;CNH;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;2.616.400,0;8
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;3.449.552,0;5
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;60.095,0;1
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;18.700,0;1
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;4.644.415,8;16
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;185.300,0;1
10/2020;MODERFROTA;CRESOL BASER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;504.929,6;4
10/2020;MODERFROTA;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;75.750,0;2
10/2020;MODERFROTA;CRESOL SC-RS;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;649.232,4;5
10/2020;MODERFROTA;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;17.425,0;1
10/2020;MODERFROTA;CRESOL SICOPER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;131.750,0;1
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Cooperativa;PARANA              ;SUL                 ;200.000,0;1
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;730.150,0;3
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;196.677,3;2
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;314.500,0;2
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;370.005,0;2
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;AMAZONAS            ;NORTE               ;192.525,0;2
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.246.263,8;18
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;390.745,0;5
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;5.925.886,7;32
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;3.400.423,5;12
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;20.396.151,2;62
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;9.806.842,2;44
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;30.974.236,6;262
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;742.560,0;6
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;34.229.633,8;181
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;276.250,0;1
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;414.967,0;6
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;17.776.899,1;108
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;2.112.904,8;13
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;4.148.949,3;41
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;28.884.286,9;207
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;SERGIPE             ;NORDESTE            ;369.887,5;5
10/2020;MODERFROTA;DLL;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;2.365.000,1;19
10/2020;MODERFROTA;ITAU;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;714.000,0;1
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Empresas Agro;MATO GROSSO         ;CENTRO OESTE        ;6.973.350,0;7
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;489.350,0;5
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;949.300,0;2
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Empresas Agro;SANTA CATARINA      ;SUL                 ;95.200,0;1
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;ALAGOAS             ;NORDESTE            ;60.000,0;1
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;5.408.990,0;12
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;255.510,0;2
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;16.830.210,0;35
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;5.821.150,0;12
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;100.834.145,9;155
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;7.685.782,5;27
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;12.948.200,8;48
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;3.908.350,0;11
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;33.770.673,0;61
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;1.742.500,0;2
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;13.169.956,0;37
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;RORAIMA             ;NORTE               ;2.461.125,0;9
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;4.578.918,2;15
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;7.893.712,0;42
10/2020;MODERFROTA;JOHN DEERE;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;3.856.810,0;5
10/2020;MODERFROTA;RABOBANK;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;1.085.450,0;2
10/2020;MODERFROTA;RABOBANK;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;371.237,5;2
10/2020;MODERFROTA;RABOBANK;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;3.060.000,0;1
10/2020;MODERFROTA;RABOBANK;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;4.218.255,1;5
10/2020;MODERFROTA;RABOBANK;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;1.197.650,0;2
10/2020;MODERFROTA;SAFRA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;397.800,0;1
10/2020;MODERFROTA;SAFRA;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;9.577.470,3;23
10/2020;MODERFROTA;SAFRA;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;300.027,0;1
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;76.822,7;1
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;3.000.500,0;3
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Empresas Agro;TOCANTINS           ;NORTE               ;580.550,0;2
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;DISTRITO FEDERAL    ;CENTRO OESTE        ;501.500,0;1
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;493.000,0;2
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;32.318.976,0;47
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;1.694.950,0;4
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;42.435.599,1;59
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;15.470.282,1;44
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;29.803.109,1;75
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;2.553.918,5;14
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;14.263.182,1;30
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;624.800,0;1
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;11.085.108,6;32
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;4.289.950,0;6
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;5.064.300,0;4
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;29.589.970,0;102
10/2020;MODERFROTA;SANTANDER;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;11.538.687,1;12
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Empresas Agro;MATO GROSSO DO SUL  ;CENTRO OESTE        ;92.565,0;1
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Empresas Agro;PARANA              ;SUL                 ;544.000,0;2
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;316.000,0;2
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;1.790.950,0;4
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;6.187.278,0;12
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;37.863.817,2;65
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;13.240.489,6;35
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;2.975.750,0;7
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;5.746.380,0;8
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;29.015.815,0;85
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;671.500,0;1
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;21.049.917,5;72
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;455.900,0;1
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;776.750,0;4
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;2.081.460,3;11
10/2020;MODERFROTA;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;1.349.722,1;6
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;518.500,0;1
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;1.759.500,0;3
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;4.813.015,0;6
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.500.250,0;3
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;612.000,0;1
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;1.318.987,5;3
10/2020;MODERFROTA;STARA;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.173.000,0;2
10/2020;MODERINFRA;ABC BRASIL;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;2.470.500,0;1
10/2020;MODERINFRA;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;5.465.000,0;3
10/2020;MODERINFRA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;641.899,3;1
10/2020;MODERINFRA;BANCO DO BRASIL;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;420.000,0;1
